Path,FileName,ProcessingTimeMS,FileSizeBytes,Assigning-Authority,OID,softwareName,manufacturerModelName,custodianOrgName,templateIds,hasEpicOID,epicOIDsFound,allOIDFamilies,indentStyle,EHR-Guess,EHR-GuessReason,Parse_type
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/16/hixny_1003861782_164f2cb8b845129dbefd5e4cfee92e083a1e8df61ad36ad5c36cc3712431eeab_2.16.840.1.113883.3.227.3245.1.1.afb3a794.xml,hixny_1003861782_164f2cb8b845129dbefd5e4cfee92e083a1e8df61ad36ad5c36cc3712431eeab_2.16.840.1.113883.3.227.3245.1.1.afb3a794.xml,243,799031,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,YES,1.2.840.114350.1.13.215.2.7.2.768076,1.2.840 | 1.3.6 | 2.16.840,2-space,EPIC,has Epic OID (1.2.840.114350); standard CCD templateId with other Epic signals; 2-space indentation (consistent with Epic),Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/15/hixny_1003861782_95246af0f328153307e15dfe94f94c3cc1945a423001d6edaaeadaa447057002_2.16.840.1.113883.3.227.3245.1.1.da3855bf.xml,hixny_1003861782_95246af0f328153307e15dfe94f94c3cc1945a423001d6edaaeadaa447057002_2.16.840.1.113883.3.227.3245.1.1.da3855bf.xml,76,204825,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/14/hixny_1003861782_a16a15f3cd5f4304c432d1700bf9433e1959175d37f5e4fd841859c9b639a016_2.16.840.1.113883.3.227.3245.1.1.ec7c86d3.xml,hixny_1003861782_a16a15f3cd5f4304c432d1700bf9433e1959175d37f5e4fd841859c9b639a016_2.16.840.1.113883.3.227.3245.1.1.ec7c86d3.xml,165,330954,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/14/hixny_1003861782_1ca782dc16134cd180db507ce8d0aaf0f52cb4d18a6b9a65bec171a69cd331ca_2.16.840.1.113883.3.227.3245.1.1.01d24715.xml,hixny_1003861782_1ca782dc16134cd180db507ce8d0aaf0f52cb4d18a6b9a65bec171a69cd331ca_2.16.840.1.113883.3.227.3245.1.1.01d24715.xml,211,305414,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/13/hixny_1003861782_12bed4ceedfd432ef56ea3498585532ebe31994bed08e1fa45c407a3fcf46c85_2.16.840.1.113883.3.227.3245.1.1.f7993820.xml,hixny_1003861782_12bed4ceedfd432ef56ea3498585532ebe31994bed08e1fa45c407a3fcf46c85_2.16.840.1.113883.3.227.3245.1.1.f7993820.xml,124,237928,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/12/hixny_1003861782_cd5e2a64bdf697f262cdaa1f87dc09d94459aabcdf99d9ecded715a334fe3c85_2.16.840.1.113883.3.227.3245.1.1.e81c903c.xml,hixny_1003861782_cd5e2a64bdf697f262cdaa1f87dc09d94459aabcdf99d9ecded715a334fe3c85_2.16.840.1.113883.3.227.3245.1.1.e81c903c.xml,125,375510,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/11/hixny_1003861782_fe3582bf75e8bb02d202b5f96a7424d1c211c8fcec1957ff4ab68af3cd21aafe_2.16.840.1.113883.3.227.3245.1.1.f1003934.xml,hixny_1003861782_fe3582bf75e8bb02d202b5f96a7424d1c211c8fcec1957ff4ab68af3cd21aafe_2.16.840.1.113883.3.227.3245.1.1.f1003934.xml,124,453571,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,YES,1.2.840.114350.1.13.215.2.7.2.768076,1.2.840 | 1.3.6 | 2.16.840,2-space,EPIC,has Epic OID (1.2.840.114350); standard CCD templateId with other Epic signals; 2-space indentation (consistent with Epic),Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/11/hixny_1003861782_32c03e290ba2e16e0d614e39873d7ea75dcfdaca5d5c3f6d5a2baf1bd6f0f561_2.16.840.1.113883.3.227.3245.1.1.ac45ce2d.xml,hixny_1003861782_32c03e290ba2e16e0d614e39873d7ea75dcfdaca5d5c3f6d5a2baf1bd6f0f561_2.16.840.1.113883.3.227.3245.1.1.ac45ce2d.xml,114,341223,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/10/hixny_1003861782_3d1f9583ac14d43f9ca555ee32c404e3f0240b3b522159ace3d5dbd325723ef4_2.16.840.1.113883.3.227.3245.1.1.89b6aaae.xml,hixny_1003861782_3d1f9583ac14d43f9ca555ee32c404e3f0240b3b522159ace3d5dbd325723ef4_2.16.840.1.113883.3.227.3245.1.1.89b6aaae.xml,50,136896,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
s3://nyec-pdr-prod-hixny/1003861782/ccd/2026/Jul/21/09/hixny_1003861782_828b0313145721edf999a355e8576ba77147cbb2b5393aaef285bb0e6851c9d3_2.16.840.1.113883.3.227.3245.1.1.5d36c037.xml,hixny_1003861782_828b0313145721edf999a355e8576ba77147cbb2b5393aaef285bb0e6851c9d3_2.16.840.1.113883.3.227.3245.1.1.5d36c037.xml,71,436950,,2.16.840.1.113883.3.227.3245.2.1,MEDENT - Version 237,MEDENT - Version 237,Plattsburgh Primary Care Pediatrics,2.16.840.1.113883.10.20.22.1.1:2023-05-01 | 2.16.840.1.113883.10.20.22.1.1:2015-08-01 | 2.16.840.1.113883.10.20.22.1.1 | 2.16.840.1.113883.10.20.22.1.2:2015-08-01 | 2.16.840.1.113883.10.20.22.1.2,NO,,1.3.6 | 2.16.840,2-space,NOT SURE,no strong signals detected,Entire
